url,asian_hate_crime,education_awareness,has_victim_race,month,news_report,offender_race,state,town,victim_race,year
https://abc7ny.com/coronavirus-hate-crime-febreeze-attack-asian-man-sprayed-with/5989856,Yes,No,Yes,March,Yes,Black or African American,New York,Brooklyn,Asian or Asian American,2020
https://fox59.com/news/40000-being-transferred-to-carmel-police-budget-for-anti-racism-training/,No,No,No,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown
https://globalnews.ca/news/6853735/vancouver-hate-crime-assault-covid19/,Yes,No,Yes,March,Yes,White or European American,Not in the US,Vancouver,Asian or Asian American,2020
https://laist.com/2020/11/26/racism_101_asked_and_answered_celebrating_multiculturalism_vs_being_a_culture_vulture.php,No,No,No,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown
https://nypost.com/2020/03/29/hate-spewing-teens-yell-you-caused-coronavirus-b-h-at-asian-woman/,Yes,No,Yes,March,Yes,Unknown,New York,Brooklyn,Asian or Asian American,2020
https://spectrumnews1.com/ky/louisville/news/2020/11/26/man-hit-by-officer-while-filming,No,No,No,November,No,Unknown,Kentucky,Louisville,Unknown,2020
https://themtnear.com/2020/11/how-do-we-raise-anti-racist-children/,No,No,No,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown
https://theperrynews.com/grimes-man-arrested-for-allegedly-sexually-assaulting-woman/,No,No,No,October,No,White or European American,Unknown,Grimes,Unknown,2020
https://www.bellinghamherald.com/news/local/article246583188.html,No,No,No,October,No,White or European American,Unknown,Bellingham,Unknown,2020
https://www.cbc.ca/news/canada/toronto/toronto-police-human-rights-complaint-1.5804937,Yes,Yes,Yes,March,Yes,Unknown,Not in the US,Toronto,Asian or Asian American,2011
https://www.cnn.com/2020/04/06/us/teens-attack-woman-caused-coronavirus-trnd/index.html,Yes,Yes,Yes,April,Yes,Unknown,New York,Bronx,Asian or Asian American,2020
https://www.dallasnews.com/news/crime/2020/04/01/fbi-says-texas-stabbing-that-targeted-asian-american-family-was-hate-crime-fueled-by-coronavirus-fears/,Yes,No,Yes,February,Yes,Unknown,Texas,Midland,Asian or Asian American,2020
https://www.eugeneweekly.com/2020/10/21/179506/,No,Yes,Yes,Unknown,No,Unknown,Oregon,Eugene,Asian or Asian American,2019
https://www.eugeneweekly.com/2021/04/16/here-we-are-again/,Yes,Yes,Yes,Unknown,No,Unknown,Georgia,Unknown,Asian or Asian American,2021
https://www.heraldscotland.com/business_hq/18902241.ian-mcconnell-brexit-obsessed-tories-must-wake-us-breath-fresh-air-think-young-opinion/,No,No,No,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown
https://www.khou.com/article/news/crime/houston-attack-asian-store-owner-hate-crime/285-a98e25d5-5472-436b-8e93-f589c3ea809b,Yes,Yes,Yes,March,Yes,Black or African American,Texas,Houston,Asian or Asian American,2021
https://www.nbcnews.com/news/asian-america/new-facebook-ads-tell-voters-which-lawmakers-voted-against-denouncing-n1244058,No,Yes,No,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown
https://www.nbcnews.com/news/asian-america/smashed-windows-racist-graffiti-vandals-target-asian-americans-amid-coronavirus-n1180556,Yes,Yes,Yes,March,Yes,Unknown,Washington,Seattle,Asian or Asian American,2020
https://www.ny1.com/nyc/all-boroughs/public-safety/2020/11/26/nypd-officers-shot-in-queens-released-from-hospital-days-later,No,No,No,November,No,Unknown,New York,Queens,White or European American,2020
https://www.virginiamercury.com/blog-va/vmi-denies-systemic-racism-but-pledges-cooperation-with-probe-virginias-tight-congressional-races-a-big-flap-over-richmond-geese-and-more-headlines/,No,No,No,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown
https://www.wavy.com/news/local-news/chesapeake/possible-hate-crime-under-investigation-at-chesapeake-chinese-restaurant/,Yes,Yes,Yes,April,No,Unknown,Virginia,Chesapeake,Asian or Asian American,2020
