,HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.url,Answer.asian_hate_crime,Answer.reference_hate,Answer.title,Approve,Reject
0,3CO05SML7U45IGFT0XPENL2KVH40RF,3LA9UWLSKAFYCXKG33QOT26J3FN1YQ,Does this article depict hate against Asian or Pacific Islander persons?,Read the article and answer 3 short questions.,"article, read, classify, hate crime",$0.03 ,Fri Apr 30 18:23:40 PDT 2021,3,BatchId:4427106;OriginalHitTemplateId:928390877;,3600,432000,Fri May 07 18:23:40 PDT 2021,,,3KJYX6QCM9A70DVQLR9WU716PXKJVO,A30F0PU2C1SRQW,Submitted,Fri Apr 30 20:26:48 PDT 2021,Fri Apr 30 20:27:10 PDT 2021,Wed May 05 20:27:10 PDT 2021,,,,22,0% (0/0),0% (0/0),0% (0/0),https://www.nbcnews.com/politics/politics-news/gofundme-page-fired-fbi-no-2-mccabe-legal-defense-fund-n861581,FALSE,FALSE,GoFundMe page for fired FBI No. 2 McCabe legal defense fund nears $500K,x,
1,3CO05SML7U45IGFT0XPENL2KVH40RF,3LA9UWLSKAFYCXKG33QOT26J3FN1YQ,Does this article depict hate against Asian or Pacific Islander persons?,Read the article and answer 3 short questions.,"article, read, classify, hate crime",$0.03 ,Fri Apr 30 18:23:40 PDT 2021,3,BatchId:4427106;OriginalHitTemplateId:928390877;,3600,432000,Fri May 07 18:23:40 PDT 2021,,,3N1FSUEFL5ZV3ECJRZMYIJ6G7TOD4Q,A27A3Z6J7745DI,Submitted,Fri Apr 30 19:52:32 PDT 2021,Fri Apr 30 19:53:00 PDT 2021,Wed May 05 19:53:00 PDT 2021,,,,28,0% (0/0),0% (0/0),0% (0/0),https://www.nbcnews.com/politics/politics-news/gofundme-page-fired-fbi-no-2-mccabe-legal-defense-fund-n861581,FALSE,FALSE,GoFundMe page for fired FBI No. 2 McCabe legal defense fund nears $500K,x,
2,3CO05SML7U45IGFT0XPENL2KVH40RF,3LA9UWLSKAFYCXKG33QOT26J3FN1YQ,Does this article depict hate against Asian or Pacific Islander persons?,Read the article and answer 3 short questions.,"article, read, classify, hate crime",$0.03 ,Fri Apr 30 18:23:40 PDT 2021,3,BatchId:4427106;OriginalHitTemplateId:928390877;,3600,432000,Fri May 07 18:23:40 PDT 2021,,,3WMINLGALB200BMM041EBGAYE3BCA3,A19Y8QDS9ABVD4,Submitted,Fri Apr 30 20:28:53 PDT 2021,Fri Apr 30 20:29:17 PDT 2021,Wed May 05 20:29:17 PDT 2021,,,,24,0% (0/0),0% (0/0),0% (0/0),https://www.nbcnews.com/politics/politics-news/gofundme-page-fired-fbi-no-2-mccabe-legal-defense-fund-n861581,FALSE,FALSE,GoFundMe page for fired FBI No. 2 McCabe legal defense fund nears $500K,x,
3,37MQ8Z1JQDVLBRUTTFLME5OWV22Y2Y,3LA9UWLSKAFYCXKG33QOT26J3FN1YQ,Does this article depict hate against Asian or Pacific Islander persons?,Read the article and answer 3 short questions.,"article, read, classify, hate crime",$0.03 ,Fri Apr 30 18:23:40 PDT 2021,3,BatchId:4427106;OriginalHitTemplateId:928390877;,3600,432000,Fri May 07 18:23:40 PDT 2021,,,386PBUZZXFW448JW7N7Q7Y34YZHJL4,A27A3Z6J7745DI,Submitted,Fri Apr 30 20:08:03 PDT 2021,Fri Apr 30 20:08:32 PDT 2021,Wed May 05 20:08:32 PDT 2021,,,,29,0% (0/0),0% (0/0),0% (0/0),https://abc7news.com/san-francisco-embarcadero-attack-sf-woman-attacked/5486606/,FALSE,FALSE,Video shows new attack near where woman was assaulted by homeless man,x,
4,37MQ8Z1JQDVLBRUTTFLME5OWV22Y2Y,3LA9UWLSKAFYCXKG33QOT26J3FN1YQ,Does this article depict hate against Asian or Pacific Islander persons?,Read the article and answer 3 short questions.,"article, read, classify, hate crime",$0.03 ,Fri Apr 30 18:23:40 PDT 2021,3,BatchId:4427106;OriginalHitTemplateId:928390877;,3600,432000,Fri May 07 18:23:40 PDT 2021,,,3ND9UOO81K1QASJVEMQ5WOXC0VNWL9,A2H1RXUC8XNNIW,Submitted,Fri Apr 30 19:38:29 PDT 2021,Fri Apr 30 19:51:02 PDT 2021,Wed May 05 19:51:02 PDT 2021,,,,753,0% (0/0),0% (0/0),0% (0/0),https://abc7news.com/san-francisco-embarcadero-attack-sf-woman-attacked/5486606/,FALSE,FALSE,Video shows new attack near where woman was assaulted by homeless man,x,
5,37MQ8Z1JQDVLBRUTTFLME5OWV22Y2Y,3LA9UWLSKAFYCXKG33QOT26J3FN1YQ,Does this article depict hate against Asian or Pacific Islander persons?,Read the article and answer 3 short questions.,"article, read, classify, hate crime",$0.03 ,Fri Apr 30 18:23:40 PDT 2021,3,BatchId:4427106;OriginalHitTemplateId:928390877;,3600,432000,Fri May 07 18:23:40 PDT 2021,,,3PJ71Z61R4128P2JS1YUYPGN4OY91R,A30F0PU2C1SRQW,Submitted,Fri Apr 30 19:38:50 PDT 2021,Fri Apr 30 19:39:12 PDT 2021,Wed May 05 19:39:12 PDT 2021,,,,22,0% (0/0),0% (0/0),0% (0/0),https://abc7news.com/san-francisco-embarcadero-attack-sf-woman-attacked/5486606/,FALSE,FALSE,Video shows new attack near where woman was assaulted by homeless man,x,
6,3MDKGGG61PMDC6E06BAQW1DTW5MT6L,3LA9UWLSKAFYCXKG33QOT26J3FN1YQ,Does this article depict hate against Asian or Pacific Islander persons?,Read the article and answer 3 short questions.,"article, read, classify, hate crime",$0.03 ,Fri Apr 30 18:23:40 PDT 2021,3,BatchId:4427106;OriginalHitTemplateId:928390877;,3600,432000,Fri May 07 18:23:40 PDT 2021,,,369J354OFD9CULQOCDGLL2TRGCBG6P,A1KQ4XZM996XWW,Submitted,Fri Apr 30 20:07:03 PDT 2021,Fri Apr 30 20:09:09 PDT 2021,Wed May 05 20:09:09 PDT 2021,,,,126,0% (0/0),0% (0/0),0% (0/0),https://www.advocate.com/crime/2017/10/10/nathan-lane-accuses-weinstein-physical-assault-hillarys-birthday-party,FALSE,FALSE,Nathan Lane Accuses Weinstein of Physical Assault at Hillary's Birthday Party,x,
7,3MDKGGG61PMDC6E06BAQW1DTW5MT6L,3LA9UWLSKAFYCXKG33QOT26J3FN1YQ,Does this article depict hate against Asian or Pacific Islander persons?,Read the article and answer 3 short questions.,"article, read, classify, hate crime",$0.03 ,Fri Apr 30 18:23:40 PDT 2021,3,BatchId:4427106;OriginalHitTemplateId:928390877;,3600,432000,Fri May 07 18:23:40 PDT 2021,,,37TD41K0AH84078GH4N5WG4409ICSZ,A5YABFNDC9VUP,Submitted,Fri Apr 30 20:31:20 PDT 2021,Fri Apr 30 20:31:51 PDT 2021,Wed May 05 20:31:51 PDT 2021,,,,31,0% (0/0),0% (0/0),0% (0/0),https://www.advocate.com/crime/2017/10/10/nathan-lane-accuses-weinstein-physical-assault-hillarys-birthday-party,FALSE,FALSE,Nathan Lane Accuses Weinstein of Physical Assault at Hillary's Birthday Party,x,
8,3MDKGGG61PMDC6E06BAQW1DTW5MT6L,3LA9UWLSKAFYCXKG33QOT26J3FN1YQ,Does this article depict hate against Asian or Pacific Islander persons?,Read the article and answer 3 short questions.,"article, read, classify, hate crime",$0.03 ,Fri Apr 30 18:23:40 PDT 2021,3,BatchId:4427106;OriginalHitTemplateId:928390877;,3600,432000,Fri May 07 18:23:40 PDT 2021,,,3JV9LGBJWTD2JRWSC92F22FI1C1GOA,A3KGCURZJ02L3,Submitted,Fri Apr 30 19:28:52 PDT 2021,Fri Apr 30 19:29:45 PDT 2021,Wed May 05 19:29:45 PDT 2021,,,,53,0% (0/0),0% (0/0),0% (0/0),https://www.advocate.com/crime/2017/10/10/nathan-lane-accuses-weinstein-physical-assault-hillarys-birthday-party,FALSE,FALSE,Nathan Lane Accuses Weinstein of Physical Assault at Hillary's Birthday Party,x,
9,38F60IALAFGIYVSL4MU9N032J210TS,3LA9UWLSKAFYCXKG33QOT26J3FN1YQ,Does this article depict hate against Asian or Pacific Islander persons?,Read the article and answer 3 short questions.,"article, read, classify, hate crime",$0.03 ,Fri Apr 30 18:23:40 PDT 2021,3,BatchId:4427106;OriginalHitTemplateId:928390877;,3600,432000,Fri May 07 18:23:40 PDT 2021,,,345LHZDEDXRW2K41DG74IEIYFTOU3X,A27A3Z6J7745DI,Submitted,Fri Apr 30 20:13:58 PDT 2021,Fri Apr 30 20:14:21 PDT 2021,Wed May 05 20:14:21 PDT 2021,,,,23,0% (0/0),0% (0/0),0% (0/0),https://www.nytimes.com/2013/01/22/technology/employers-social-media-policies-come-under-regulatory-scrutiny.html,FALSE,FALSE,"Even if It Enrages Your Boss, Social Net Speech Is Protected",x,
